Date,Company,Industry,Close,Volume
31-12-2020 00:00,HDFCLIFE,Financial Services,676.5,2959814
01-01-2021 00:00,HDFCLIFE,Financial Services,678.4000244140625,1264311
04-01-2021 00:00,HDFCLIFE,Financial Services,695.8499755859375,5031655
05-01-2021 00:00,HDFCLIFE,Financial Services,713.75,6955494
06-01-2021 00:00,HDFCLIFE,Financial Services,719.0499877929688,3582162
07-01-2021 00:00,HDFCLIFE,Financial Services,704.2999877929688,3284785
08-01-2021 00:00,HDFCLIFE,Financial Services,717.0,2841346
11-01-2021 00:00,HDFCLIFE,Financial Services,725.0999755859375,3216546
12-01-2021 00:00,HDFCLIFE,Financial Services,718.4000244140625,1607350
13-01-2021 00:00,HDFCLIFE,Financial Services,713.25,2639680
14-01-2021 00:00,HDFCLIFE,Financial Services,706.9000244140625,1995368
15-01-2021 00:00,HDFCLIFE,Financial Services,704.8499755859375,2417123
18-01-2021 00:00,HDFCLIFE,Financial Services,693.9500122070312,2381523
19-01-2021 00:00,HDFCLIFE,Financial Services,698.5499877929688,2016585
20-01-2021 00:00,HDFCLIFE,Financial Services,702.9500122070312,2495461
21-01-2021 00:00,HDFCLIFE,Financial Services,700.5,2254977
22-01-2021 00:00,HDFCLIFE,Financial Services,687.4000244140625,2644349
25-01-2021 00:00,HDFCLIFE,Financial Services,680.4000244140625,3532317
27-01-2021 00:00,HDFCLIFE,Financial Services,682.8499755859375,3629780
28-01-2021 00:00,HDFCLIFE,Financial Services,671.7999877929688,1964058
29-01-2021 00:00,HDFCLIFE,Financial Services,677.9500122070312,4598451
01-02-2021 00:00,HDFCLIFE,Financial Services,699.0499877929688,8383807
02-02-2021 00:00,HDFCLIFE,Financial Services,681.0499877929688,6702065
03-02-2021 00:00,HDFCLIFE,Financial Services,689.2000122070312,2902411
04-02-2021 00:00,HDFCLIFE,Financial Services,680.4000244140625,3379697
05-02-2021 00:00,HDFCLIFE,Financial Services,681.5499877929688,2759333
08-02-2021 00:00,HDFCLIFE,Financial Services,684.0499877929688,3887493
09-02-2021 00:00,HDFCLIFE,Financial Services,704.9000244140625,7331068
10-02-2021 00:00,HDFCLIFE,Financial Services,719.0499877929688,8514545
11-02-2021 00:00,HDFCLIFE,Financial Services,714.2000122070312,3044979
12-02-2021 00:00,HDFCLIFE,Financial Services,710.9500122070312,1760221
15-02-2021 00:00,HDFCLIFE,Financial Services,695.25,3871100
16-02-2021 00:00,HDFCLIFE,Financial Services,695.3499755859375,3066134
17-02-2021 00:00,HDFCLIFE,Financial Services,703.0999755859375,3533494
18-02-2021 00:00,HDFCLIFE,Financial Services,713.4500122070312,2949918
19-02-2021 00:00,HDFCLIFE,Financial Services,710.6500244140625,3787638
22-02-2021 00:00,HDFCLIFE,Financial Services,690.5999755859375,3110151
23-02-2021 00:00,HDFCLIFE,Financial Services,705.7000122070312,4693570
24-02-2021 00:00,HDFCLIFE,Financial Services,718.7999877929688,2362499
25-02-2021 00:00,HDFCLIFE,Financial Services,733.5,5635556
26-02-2021 00:00,HDFCLIFE,Financial Services,700.6500244140625,13122512
01-03-2021 00:00,HDFCLIFE,Financial Services,705.25,2210665
02-03-2021 00:00,HDFCLIFE,Financial Services,720.7999877929688,2446910
03-03-2021 00:00,HDFCLIFE,Financial Services,727.5,1714037
04-03-2021 00:00,HDFCLIFE,Financial Services,720.5,2122634
